metric_key,metric_label,unit,numerator_field,denominator_field,transformation
phased_benchmark_snps_pct,"Phased benchmark
SNPs (%)",%,Phased SNPs,Benchmark SNPs,100 * Phased SNPs / Benchmark SNPs
phase_block_NG50_Mb,"Phase-block
NG50 (Mb)",Mb,,,NG50 (kb) / 1000
switch_errors_per_10000,"Switch errors per 10,000
assessed pairs","errors per 10,000 assessed pairs",Switch errors,Assessed pairs,10000 * Switch errors / Assessed pairs
blockwise_hamming_error_pct,"Blockwise Hamming
error (%)",%,Blockwise Hamming,Covered variants,100 * Blockwise Hamming / Covered variants
