file,format,width_mm,height_mm,dpi,bytes,md5,font_family,editable_text,plotted_points,raw_trajectories,panel_layout,depth_coordinate_grammar,y_scale,generated_utc
phasing_ed_c_whatshap_hamming_depth.svg,svg,88,48,,9728,34829a52ed199a3a1d43f081cd4ceae6,Nimbus Sans,TRUE,18,6,1 x 2 independent axes: mapper,"centres 1,2,3; boundaries 0.5,1.5,2.5,3.5",log10,2026-08-08 11:09:41 UTC
phasing_ed_c_whatshap_hamming_depth.pdf,pdf,88,48,,16292,4690bddf53423c3e285adaf459c23913,Nimbus Sans,TRUE,18,6,1 x 2 independent axes: mapper,"centres 1,2,3; boundaries 0.5,1.5,2.5,3.5",log10,2026-08-08 11:09:41 UTC
phasing_ed_c_whatshap_hamming_depth.tiff,tiff,88,48,600,7063326,c017f2bab7421e657055ce4669caf241,Nimbus Sans,FALSE,18,6,1 x 2 independent axes: mapper,"centres 1,2,3; boundaries 0.5,1.5,2.5,3.5",log10,2026-08-08 11:09:41 UTC
phasing_ed_c_whatshap_hamming_depth.png,png,88,48,600,99968,84e9d4bf11375101adfaab7d7f6b81fb,Nimbus Sans,FALSE,18,6,1 x 2 independent axes: mapper,"centres 1,2,3; boundaries 0.5,1.5,2.5,3.5",log10,2026-08-08 11:09:41 UTC
