file,format,width_mm,height_mm,dpi,editable_text,base_family,selected_rows,plotted_points,plotted_references,geometry,x_encoding,y_window,bytes,md5
primary_mapped_read_rate_30x.svg,SVG,183,52,,TRUE,Nimbus Sans,12,12,2,reference-faceted categorical points; no connectors or fits,"aligner categories at centres 1 and 2; pale guides at boundaries 0.5, 1.5 and 2.5",97.5-100.10%,8354,8ebe8a701e8b6e74084f6fd3cb77f4d6
primary_mapped_read_rate_30x.pdf,PDF,183,52,,TRUE,Nimbus Sans,12,12,2,reference-faceted categorical points; no connectors or fits,"aligner categories at centres 1 and 2; pale guides at boundaries 0.5, 1.5 and 2.5",97.5-100.10%,24286,1031a948e93867586976f63d99c5c664
primary_mapped_read_rate_30x.tiff,TIFF,183,52,600,FALSE,Nimbus Sans,12,12,2,reference-faceted categorical points; no connectors or fits,"aligner categories at centres 1 and 2; pale guides at boundaries 0.5, 1.5 and 2.5",97.5-100.10%,135184,eae46720ba8f137a51834a4249826b5e
primary_mapped_read_rate_30x.png,PNG,183,52,320,FALSE,Nimbus Sans,12,12,2,reference-faceted categorical points; no connectors or fits,"aligner categories at centres 1 and 2; pale guides at boundaries 0.5, 1.5 and 2.5",97.5-100.10%,51931,fcf897df0c91ab2fa25cd16571df2e0d
