platform,depth,depth_x,minimap2_phased_snv_pct,winnowmap_phased_snv_pct,mapper_delta_percentage_points,connector_ymin,connector_ymax,connector_definition
BGI,10x,10,96.52834948521395,99.53253732763939,3.004187842425438,96.52834948521395,99.53253732763939,winnowmap minus minimap2 within the same platform and depth
BGI,30x,30,95.026971644551125,99.50770807763377,4.48073643308264,95.026971644551125,99.50770807763377,winnowmap minus minimap2 within the same platform and depth
BGI,50x,50,94.55713865239336,99.47547992964968,4.918341277256317,94.55713865239336,99.47547992964968,winnowmap minus minimap2 within the same platform and depth
ONT,10x,10,96.16848726764755,99.44954005820695,3.2810527905594,96.16848726764755,99.44954005820695,winnowmap minus minimap2 within the same platform and depth
ONT,30x,30,94.60236096480273,99.48380408846934,4.881443123666614,94.60236096480273,99.48380408846934,winnowmap minus minimap2 within the same platform and depth
ONT,50x,50,94.56151878449717,99.51111889562617,4.949600111129001,94.56151878449717,99.51111889562617,winnowmap minus minimap2 within the same platform and depth
HiFi,10x,10,98.60517376513461,99.57361480405106,0.9684410389164526,98.60517376513461,99.57361480405106,winnowmap minus minimap2 within the same platform and depth
HiFi,30x,30,97.43432987619998,99.73265455316796,2.2983246769679795,97.43432987619998,99.73265455316796,winnowmap minus minimap2 within the same platform and depth
HiFi,50x,50,96.61051168476403,99.74115174171429,3.1306400569502557,96.61051168476403,99.74115174171429,winnowmap minus minimap2 within the same platform and depth
